"price","retail_price","units_sold","uses_ad_boosts","rating ","countries_shipped_to","origin_country","merchant_title","merchant_rating","product_id","discount","sales_revenue","units_sold_volume"
9,10,10000,0,4.15,31,"CN","bees flyin",4.31,"5ba4f816c1a38516a0cb12d9",10.00,90000,"Medium High"
9,8,10000,0,3.8,45,"CN","sangboo st",3.87,"5cae1d6c836ecb39e57e9e80",-12.50,90000,"Medium High"
9,8,10000,1,3.84,30,"CN","keepahorse",4.14,"5c8622c240fb5753d489ae2e",-12.50,90000,"Medium High"
9,26,10000,1,3.78,40,NULL,"freebird",4.1,"57ccc65975aea72c65411bc6",65.38,90000,"Medium High"
9,8,10000,1,4.06,23,"CN","suyi techn",4.05,"5d00ccdde1fe9971cb8aef7a",-12.50,90000,"Medium High"
9,8,10000,0,3.18,24,"CN","fengjinyin",3.91,"5d1573a55a16864c5de706ab",-12.50,90000,"Medium High"
18,27,5000,1,4.03,41,"CN","yunanjie",3.79,"5b58449a6efe5e178f799c31",33.33,90000,"Medium"
9,17,10000,0,3.93,59,"CN","qtcjcc03",4.34,"5a694c37a5419b68016bcb1c",47.06,90000,"Medium High"
9,8,10000,1,3.91,41,"CN","happy stre",4.08,"5937a77811601873f9b93e96",-12.50,90000,"Medium High"
9,8,10000,0,4.2,43,"CN","snowgirl",3.97,"5b7ba8fdfc71be0f30bb7f44",-12.50,90000,"Medium High"
9,14,10000,0,4.14,43,"CN","pumpkin262",3.85,"5d48e96858129b44c0324f90",35.71,90000,"Medium High"
9,48,10000,1,4.02,43,"CN","cenic beau",4.11,"5b7658a91fde835ed161abd2",81.25,90000,"Medium High"
18,27,5000,1,4.09,42,"CN","postonny",4.05,"5b88da661a62df412262441f",33.33,90000,"Medium"
8,11,10000,1,4.28,36,"CN","women ward",4.26,"5abc519e3c1dc61e44e0667f",27.27,80000,"Medium High"
8,7,10000,1,3.93,30,"CN","keepahorse",4.14,"5c9ca27e5aee12258c2f341c",-14.29,80000,"Medium High"
8,7,10000,1,3.7,48,"CN","realmhome",3.94,"5cc67417a01bbd6b6c066df2",-14.29,80000,"Medium High"
8,7,10000,1,4.14,42,"CN","wifehome",4.08,"5c3c095b2af01c230cd5dbf2",-14.29,80000,"Medium High"
8,13,10000,0,3.99,44,"CN","ashley go",3.98,"587347296dd28e71b1c9d289",38.46,80000,"Medium High"
8,7,10000,1,3.71,35,"CN","f40051ab1z",3.97,"5d15ae82502b2660ec498f59",-14.29,80000,"Medium High"
8,118,10000,0,3.85,43,"CN","eatluncher",4.02,"5c107c373a0d72228ee96207",93.22,80000,"Medium High"
8,7,10000,1,3.62,38,"CN","hey jude f",3.9,"5d14546bf5eab044136b2540",-14.29,80000,"Medium High"
8,25,10000,0,3.65,39,"CN","brendabear",4.23,"584e5c5190e8175031339254",68.00,80000,"Medium High"
8,108,10000,0,3.96,41,"CN","cxuelin991",4.22,"5bdea74e9eddea3597f1a67d",92.59,80000,"Medium High"
8,11,10000,1,3.82,37,"CN","yanxiahome",4.24,"5cfbdd5f3818e474b87846b7",27.27,80000,"Medium High"
16,14,5000,1,3.34,26,"US","silveres_9",3.85,"5de0bdcce07f9e75fdfc8da1",-14.29,80000,"Medium"
8,8,10000,0,4.3,41,"CN","chenxiaoxi",3.99,"5b1e05d0c71f3d17c2e5d4df",0.00,80000,"Medium High"
8,7,10000,1,3.32,28,"CN","shuilingji",4.08,"5d3fa6df99a3f92b0a400e46",-14.29,80000,"Medium High"
8,7,10000,0,4.02,31,"CN","honest fas",4.24,"574eaac76283f860b772ba47",-14.29,80000,"Medium High"
8,56,10000,1,3.59,36,"CN","sunsunxinx",3.8,"5e142bd2ffb8db76f604cfc7",85.71,80000,"Medium High"
8,8,10000,1,3.98,42,"CN","spy89ping@",3.94,"5c6bb167314806702b1b55ca",0.00,80000,"Medium High"
8,22,10000,0,3.7,43,"CN","wuxinqiudr",4.08,"5e5cb06e8ac7c478f8cc2cb5",63.64,80000,"Medium High"
8,7,10000,0,3.28,30,"CN","xiaojubo",3.98,"5c9209128f5ca95fc2c046bd",-14.29,80000,"Medium High"
16,34,5000,1,4.28,39,"CN","world deal",4.23,"5aba0e4d35ca8601538db9b5",52.94,80000,"Medium"
8,7,10000,1,3.7,41,"CN","petha's bo",4.07,"5bcd4a045d689f171be1655b",-14.29,80000,"Medium High"
8,7,10000,0,3.54,31,"CN","lin fashio",4,"5c984d7e082de24a302cc559",-14.29,80000,"Medium High"
